곡명,아티스트,유튜브링크,소속팀,순서
한로로 - 비틀비틀 짝짜꿍,한로로,https://www.youtube.com/watch?v=dQw4w9WgXcQ,유섭,1
노브레인 - 넌 내게 반했어,노브레인,https://www.youtube.com/watch?v=dQw4w9WgXcQ,유섭,2
아이용 - 너는 록을 듣지 않아,아이용,https://www.youtube.com/watch?v=dQw4w9WgXcQ,유섭,3
크라잉넛 - 밤이 깊었네,크라잉넛,https://www.youtube.com/watch?v=dQw4w9WgXcQ,유섭,4
쏜애플 - 시퍼런봄,쏜애플,https://youtu.be/8i-B1ieI_kY?si=HX-p2R7-sOy6KAlz,퇴근인사,1
리도어 - 아직도 사랑하면 안되는 건가요,리도어,https://youtu.be/avo8_7QSXrQ?si=PDH4zXsZzDz-Ok8_,퇴근인사,2
하현상 - 시간과 흔적,하현상,https://www.youtube.com/watch?v=dQw4w9WgXcQ,퇴근인사,3
데이먼스 이어 - yours,데이먼스 이어,https://youtu.be/EFFkO-Kb6LQ?si=g34D9QwvGMOzMwNr,퇴근인사,4
Woodz - Drowning,Woodz,https://youtu.be/NbKH4iZqq1Y?si=oV1P3Xz5ywb3OE4M,퇴근인사,5
10cm - 너에게 닿기를,10cm,https://youtu.be/qRdFd34gnOY?si=kI2U_rGlbrzPbef4,퇴근인사,6
더 폴스 - Find Me!,더 폴스,https://youtu.be/4ncJf4uaqP4?si=UhSTwZH72ZtkXHJL,옐로우치킨썸머,1
검정치마 - Antifreeze,검정치마,https://youtu.be/PGADim6UzHE?si=MelKsn6oiVD8ee3p,옐로우치킨썸머,2
웨이브투어스 - 사랑으로,웨이브투어스,https://youtu.be/L7cAqBQVjYI?si=BUx3oA5teeYPb1ym,옐로우치킨썸머,3
한로로 - ㅈㅣㅂ,한로로,https://youtu.be/XxM5yQj86s0?si=T_rfLrfs--9Rlh1s,옐로우치킨썸머,4
O.O.O - 눈이 마주쳤을 때,O.O.O,https://youtu.be/qmkodlvhCSE?si=YljbaLcYwmirxNP4,옐로우치킨썸머,5
혁오 - LOVE YA!,혁오,https://youtu.be/gxbGIUSW-Ho?si=yTb56T9uxvRCbGlR,옐로우치킨썸머,6
이츠 - 청록,이츠,https://youtu.be/9WPBI2hhmLM?si=ts5kCnD7RwokXZWf,노랑찜닭,1
유다빈밴드 - calling,유다빈밴드,https://youtu.be/0eAw495m8rE?si=oDv6XNkm-KRb5uXC,노랑찜닭,2
아이유 - 있잖아 (Rock ver.),아이유,https://youtu.be/MF7lASJkAPM?si=c6kywiEUIaHymEC2,노랑찜닭,3
윤마치 - 지구를 가졌어도,윤마치,https://youtu.be/PfFylTVQaQ4?si=jx44IN7mvkWstVbu,노랑찜닭,4
터치드 - stand up!,터치드,https://youtu.be/xOoXPTId5NQ?si=NklSSi3lkvAiXjLE,노랑찜닭,5 